route_id,direction_id,time_slot,sched_headway_min,sd_headway_min,n_departures,route_short_name,transport_type,n_vehicles,total_capacity,n_ctrl_points,peak
1_49,1,вечірній пік,22.25,4.590362575159894,8,25,трамвай,22,3126,4,TRUE
1_49,1,день,32,10.206207261596576,13,25,трамвай,22,3126,4,FALSE
1_49,1,ранковий пік,24.375,7.0089228844380935,8,25,трамвай,22,3126,4,TRUE
1_5,0,вечір/ніч,8.078947368421053,3.619628015435844,38,3,трамвай,41,10800,4,FALSE
1_5,0,вечірній пік,6.392857142857143,1.0306159867619522,28,3,трамвай,41,10800,4,TRUE
1_5,0,день,7.905660377358491,2.7263962615045543,53,3,трамвай,41,10800,4,FALSE
1_5,0,ранковий пік,6.266666666666667,1.3628907749221197,30,3,трамвай,41,10800,4,TRUE
1_5,1,вечір/ніч,10.130434782608695,2.5460191355791464,23,3,трамвай,41,10800,4,FALSE
1_5,1,вечірній пік,6.769230769230769,1.0318020084373671,26,3,трамвай,41,10800,4,TRUE
1_5,1,день,9.422222222222222,1.6853498273070904,45,3,трамвай,41,10800,4,FALSE
1_5,1,ранковий пік,6.88,1.1661903789690602,25,3,трамвай,41,10800,4,TRUE
1_51,0,вечір/ніч,11.875,5.922047971260707,24,29,трамвай,41,6804,5,FALSE
1_51,0,вечірній пік,11.3125,2.151549828999242,16,29,трамвай,41,6804,5,TRUE
1_51,0,день,13.933333333333332,6.6432923564549915,30,29,трамвай,41,6804,5,FALSE
1_51,0,ранковий пік,11.411764705882353,4.637602068006318,17,29,трамвай,41,6804,5,TRUE
1_51,1,вечір/ніч,18.818181818181817,3.5161962919661303,11,29,трамвай,41,6804,5,FALSE
1_51,1,вечірній пік,11.933333333333334,1.7915143899851347,15,29,трамвай,41,6804,5,TRUE
1_51,1,день,16.72,5.975784467331465,25,29,трамвай,41,6804,5,FALSE
1_51,1,ранковий пік,11.8,0.9411239481143201,15,29,трамвай,41,6804,5,TRUE
1_552,0,вечір/ніч,13.454545454545455,8.359353317020874,22,22к,трамвай,39,6730,4,FALSE
1_552,0,вечірній пік,12.266666666666667,2.1201976547572388,15,22к,трамвай,39,6730,4,TRUE
1_552,0,день,16,8.26559132790873,26,22к,трамвай,39,6730,4,FALSE
1_552,0,ранковий пік,11.8,3.8022549700332906,15,22к,трамвай,39,6730,4,TRUE
1_552,1,вечір/ніч,21.875,5.330170192940773,8,22к,трамвай,39,6730,4,FALSE
1_552,1,вечірній пік,13.785714285714286,2.8603004529801903,14,22к,трамвай,39,6730,4,TRUE
1_552,1,день,19.09090909090909,7.615204658532953,22,22к,трамвай,39,6730,4,FALSE
1_552,1,ранковий пік,12.923076923076923,1.6563785025137652,13,22к,трамвай,39,6730,4,TRUE
1_667,0,вечір/ніч,15.5625,6.632935498957707,16,23к,трамвай,37,5626,3,FALSE
1_667,0,вечірній пік,13.153846153846153,3.0234129127569793,13,23к,трамвай,37,5626,3,TRUE
1_667,0,день,16.148148148148145,7.527915758662266,27,23к,трамвай,37,5626,3,FALSE
1_667,0,ранковий пік,11.733333333333333,4.47958331395529,15,23к,трамвай,37,5626,3,TRUE
1_667,1,вечір/ніч,21.5,2.2677868380553634,8,23к,трамвай,37,5626,3,FALSE
1_667,1,вечірній пік,15.333333333333334,4.849242365066064,12,23к,трамвай,37,5626,3,TRUE
1_667,1,день,19.181818181818183,5.933250643910402,22,23к,трамвай,37,5626,3,FALSE
1_667,1,ранковий пік,14,5.04524979109513,12,23к,трамвай,37,5626,3,TRUE
2_1,0,вечір/ніч,20.333333333333332,6.683312551921141,15,1,тролейбус,15,2440,3,FALSE
2_1,0,вечірній пік,14.916666666666666,5.19542339395205,12,1,тролейбус,15,2440,3,TRUE
2_1,0,день,18.954545454545453,5.736078573607356,22,1,тролейбус,15,2440,3,FALSE
2_1,0,ранковий пік,15.083333333333334,5.333570070503405,12,1,тролейбус,15,2440,3,TRUE
2_1,1,вечір/ніч,18.615384615384617,4.610467466148119,13,1,тролейбус,15,2440,3,FALSE
2_1,1,вечірній пік,16.636363636363637,6.682405663722118,11,1,тролейбус,15,2440,3,TRUE
2_1,1,день,20.238095238095237,5.019011475427823,21,1,тролейбус,15,2440,3,FALSE
2_1,1,ранковий пік,15.909090909090908,4.5266885347800425,11,1,тролейбус,15,2440,3,TRUE
2_12,0,вечір/ніч,13.523809523809524,4.84374903993846,21,16,тролейбус,39,6123,4,FALSE
2_12,0,вечірній пік,15.333333333333334,5.033222956847166,12,16,тролейбус,39,6123,4,TRUE
2_12,0,день,17.04,6.367102951892643,25,16,тролейбус,39,6123,4,FALSE
2_12,0,ранковий пік,13.615384615384615,3.7089635016282188,13,16,тролейбус,39,6123,4,TRUE
2_12,1,вечір/ніч,18.3,2.311805451253294,10,16,тролейбус,39,6123,4,FALSE
2_12,1,вечірній пік,16.9,3.4464152068167557,10,16,тролейбус,39,6123,4,TRUE
2_12,1,день,16.423076923076923,6.952254753232663,26,16,тролейбус,39,6123,4,FALSE
2_12,1,ранковий пік,16,5.549774770204643,11,16,тролейбус,39,6123,4,TRUE
2_14,0,вечір/ніч,21.083333333333332,9.866917482479552,12,17,тролейбус,36,3769,4,FALSE
2_14,0,вечірній пік,13.76923076923077,5.387544990590893,13,17,тролейбус,36,3769,4,TRUE
2_14,0,день,18.434782608695652,12.339242966894178,23,17,тролейбус,36,3769,4,FALSE
2_14,0,ранковий пік,13.846153846153847,5.145323991194234,13,17,тролейбус,36,3769,4,TRUE
2_14,1,вечір/ніч,26.25,6.08863109175031,8,17,тролейбус,36,3769,4,FALSE
2_14,1,вечірній пік,18.555555555555557,8.530989261379817,9,17,тролейбус,36,3769,4,TRUE
2_14,1,день,24.588235294117645,10.446643142233608,17,17,тролейбус,36,3769,4,FALSE
2_14,1,ранковий пік,15.454545454545455,3.2051095570553083,11,17,тролейбус,36,3769,4,TRUE
2_15,0,вечір/ніч,9.387096774193548,4.44730194878377,31,18,тролейбус,56,8801,5,FALSE
2_15,0,вечірній пік,8.181818181818182,3.459099299726443,22,18,тролейбус,56,8801,5,TRUE
2_15,0,день,11.378378378378377,5.539511367096035,37,18,тролейбус,56,8801,5,FALSE
2_15,0,ранковий пік,7.913043478260869,2.1513852509543043,23,18,тролейбус,56,8801,5,TRUE
2_15,1,вечір/ніч,12.333333333333334,3.5590260840104375,15,18,тролейбус,56,8801,5,FALSE
2_15,1,вечірній пік,11.866666666666667,3.136573805618997,15,18,тролейбус,56,8801,5,TRUE
2_15,1,день,15.407407407407407,2.5759129712254714,27,18,тролейбус,56,8801,5,FALSE
